id,source,target
0,doi_1,doi_21
1,doi_1,doi_3
2,doi_1,doi_7
3,doi_2,doi_15
4,doi_2,doi_17
5,doi_2,doi_5
6,doi_2,doi_9
7,doi_2,doi_23
8,doi_2,doi_24
9,doi_2,doi_10
10,doi_2,doi_6
11,doi_2,doi_21
12,doi_2,doi_14
13,doi_2,doi_25
14,doi_2,doi_16
15,doi_2,doi_3
16,doi_2,doi_18
17,doi_2,doi_11
18,doi_2,doi_7
19,doi_2,doi_19
20,doi_2,doi_12
21,doi_2,doi_4
22,doi_2,doi_13
23,doi_3,doi_12
24,doi_3,doi_7
25,doi_3,doi_6
26,doi_3,doi_16
27,doi_3,doi_11
28,doi_3,doi_19
29,doi_3,doi_8
30,doi_3,doi_13
31,doi_3,doi_14
32,doi_3,doi_23
33,doi_3,doi_21
34,doi_3,doi_4
35,doi_3,doi_17
36,doi_3,doi_24
37,doi_3,doi_22
38,doi_3,doi_25
39,doi_4,doi_19
40,doi_4,doi_17
41,doi_4,doi_13
42,doi_4,doi_7
43,doi_4,doi_24
44,doi_4,doi_15
45,doi_4,doi_6
46,doi_4,doi_16
47,doi_4,doi_8
48,doi_4,doi_22
49,doi_4,doi_23
50,doi_4,doi_21
51,doi_4,doi_11
52,doi_4,doi_18
53,doi_4,doi_10
54,doi_4,doi_14
55,doi_4,doi_20
56,doi_4,doi_9
57,doi_4,doi_12
58,doi_4,doi_5
59,doi_4,doi_25
60,doi_5,doi_22
61,doi_6,doi_14
62,doi_6,doi_23
63,doi_6,doi_12
64,doi_6,doi_18
65,doi_6,doi_20
66,doi_6,doi_10
67,doi_6,doi_15
68,doi_6,doi_16
69,doi_6,doi_8
70,doi_7,doi_18
71,doi_7,doi_8
72,doi_7,doi_20
73,doi_8,doi_10
74,doi_8,doi_18
75,doi_8,doi_15
76,doi_8,doi_21
77,doi_8,doi_13
78,doi_8,doi_25
79,doi_8,doi_20
80,doi_8,doi_17
81,doi_8,doi_22
82,doi_8,doi_23
83,doi_8,doi_14
84,doi_8,doi_24
85,doi_8,doi_9
86,doi_8,doi_12
87,doi_8,doi_19
88,doi_9,doi_13
89,doi_9,doi_14
90,doi_9,doi_18
91,doi_9,doi_16
92,doi_9,doi_24
93,doi_9,doi_20
94,doi_9,doi_19
95,doi_9,doi_25
96,doi_9,doi_22
97,doi_9,doi_23
98,doi_9,doi_15
99,doi_9,doi_17
100,doi_9,doi_12
101,doi_9,doi_11
102,doi_9,doi_21
103,doi_10,doi_24
104,doi_10,doi_17
105,doi_10,doi_14
106,doi_10,doi_18
107,doi_10,doi_20
108,doi_10,doi_13
109,doi_10,doi_21
110,doi_10,doi_16
111,doi_10,doi_23
112,doi_10,doi_11
113,doi_11,doi_19
114,doi_11,doi_22
115,doi_11,doi_21
116,doi_11,doi_24
117,doi_11,doi_12
118,doi_12,doi_18
119,doi_12,doi_13
120,doi_12,doi_19
121,doi_12,doi_21
122,doi_12,doi_14
123,doi_13,doi_14
124,doi_13,doi_23
125,doi_13,doi_24
126,doi_13,doi_15
127,doi_13,doi_22
128,doi_14,doi_19
129,doi_14,doi_23
130,doi_14,doi_22
131,doi_14,doi_21
132,doi_14,doi_25
133,doi_14,doi_16
134,doi_14,doi_15
135,doi_14,doi_20
136,doi_14,doi_18
137,doi_15,doi_19
138,doi_15,doi_22
139,doi_15,doi_25
140,doi_15,doi_17
141,doi_15,doi_21
142,doi_15,doi_20
143,doi_16,doi_23
144,doi_16,doi_18
145,doi_16,doi_22
146,doi_16,doi_25
147,doi_16,doi_19
148,doi_17,doi_24
149,doi_17,doi_18
150,doi_17,doi_21
151,doi_17,doi_20
152,doi_18,doi_21
153,doi_18,doi_19
154,doi_18,doi_22
155,doi_18,doi_20
156,doi_18,doi_23
157,doi_18,doi_25
158,doi_19,doi_22
159,doi_19,doi_20
160,doi_20,doi_24
